序号,求职者id,求职者姓名,预期岗位,求职类型,性别,年龄,期望工作地址,居住地址,可报到时间,工作经验,自我评价,期望企业,期望最低薪资,期望最高薪资,学历,专业,竞赛经历,项目经历,工作经历,技能水平,简历关键词,获得证书
1,1627308899029876736,张先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",2,0,2000-06-29T16:00:00.000Z,"[""广东省"",""广州市"",""番禺区""]","[""河南省"",""郑州市"",""中原区""]",随时到岗,无经验,熟悉VR游戏制作，UE5虚拟引擎，精通C++、Python、matlab等编程语言。七年编程经验。熟悉pytorch、TensorFlow等深度学习框架。主要熟悉的领域有图像、NLP、强化学习，模拟飞行器开发、游戏开发、网页爬虫、网站逆向分析等。,"[""互联网"",""游戏"",""计算机软件""]",50000,55000,[],[],"第十届泰迪杯数据挖掘挑战赛_全国二等奖,全国大学生数学建模竞赛_省一等奖","Deepfake检测,闯关游戏开发,VR虚拟展厅开发",,"Python_MASTER,C++_MASTER,Matlab_MASTER,NLP_MASTER,网页爬虫_MASTER","深度学习,网页逆向分析",
2,1643560323032154112,王先生,"[""自然语言处理工程师"",""数据分析师""]",2,0,1990-02-28T16:00:00.000Z,"[""广东省"",""广州市"",""荔湾区""]","[""广东省"",""广州市"",""荔湾区""]",随时到岗,3年工作经验,熟练掌握python，Java编程技术，有前端开发经验,"[""互联网"",""信息安全""]",9000,13000,[],[],,,,,阳光开朗大男孩,
3,1643227269948375040,林先生,"[""数据分析师"",""数据挖掘工程师""]",2,0,2000-09-08T16:00:00.000Z,"[""广东省"",""广州市"",""海珠区""]","[""广东省"",""广州市"",""海珠区""]",时间待议,无经验,掌握微信小程序前端开发、数据分析、数据挖掘、报告写作等技能，项目经验丰富，动手能力强。,"[""互联网"",""数据服务""]",3000,4000,[],[],,基于微信小程序的校园导航,干事,,"数据分析,数据挖掘,网络爬虫",
4,1641058737659707392,段女士,"[""数据挖掘工程师"",""图像处理工程师"",""机器学习工程师""]",0,1,2002-01-23T16:00:00.000Z,"[""北京市"",""北京市"",""海淀区""]","[""河北省"",""邯郸市"",""临漳县""]",1周后到岗,3年工作经验,爱好,"[""金融"",""电子商务"",""媒体""]",8000,10000,['硕士'],[None],第六届泰迪杯数据挖掘挑战赛_创新奖,计算机,会计,python_COMMONLY,"你好,邯郸",泰迪杯
5,1640319370922164224,文女士,"[""数据分析师""]",2,1,2000-08-15T16:00:00.000Z,"[""浙江省"",""杭州市"",""拱墅区""]","[""浙江省"",""杭州市"",""西湖区""]",随时到岗,无经验,无,"[""金融"",""互联网""]",9000,11000,[],[],,,,,,
6,1639549004641599488,陈先生,"[""数据挖掘工程师"",""数据分析师"",""机器学习工程师""]",2,0,2001-06-22T16:00:00.000Z,"[""广东省"",""广州市"",""黄埔区""]","[""广东省"",""中山市"",""中山""]",1周后到岗,无经验,"掌握python、C语言的基础编程以及常用操作；
熟 悉numpy、pandas、 tensorFlow架构；
熟悉 MySQL 数据库，熟练编写 SQL 语句；
掌握 机器学习的基础算法；","[""不限"",""互联网"",""数据服务""]",6000,10000,[],[],"第七届数维杯大学生数学建模_三等奖,十届泰迪杯数据挖掘挑战赛_三等奖,全国大学生数学建模比赛_省三等奖",,,"python_GOOD,mysql_SKILLED",,
7,1639531141977473024,毕先生,"[""数据分析师"",""数据挖掘工程师"",""自然语言处理工程师""]",2,0,2023-03-20T16:00:00.000Z,"[""天津市"",""天津市"",""河西区""]","[""北京市"",""北京市"",""西城区""]",随时到岗,10年以上工作经验,啥都会,"[""互联网""]",9000,14000,[],[],,,,,,
8,1637801716407730176,节先生,"[""图像处理工程师"",""计算机视觉工程师"",""机器学习工程师""]",2,0,2019-03-05T16:00:00.000Z,"[""山西省"",""长治市"",""潞城区""]","[""天津市"",""天津市"",""河西区""]",,10年以上工作经验,啥都会,[],50000,55000,[],[],,,,,,
9,1637791761638227968,地先生,"[""算法工程师"",""数据挖掘工程师"",""计算机视觉工程师""]",2,0,2000-02-14T16:00:00.000Z,"[""河北省"",""秦皇岛市"",""北戴河区""]","[""河北省"",""邯郸市"",""复兴区""]",随时到岗,4年工作经验,啥都会,"[""互联网"",""电子商务"",""金融""]",3000,6000,[],[],,,,,,
10,1635610357617786880,欧先生,"[""数据分析师"",""数据挖掘工程师"",""算法工程师""]",0,0,2002-03-02T16:00:00.000Z,"[""广东省"",""广州市"",""天河区""]","[""广东省"",""广州市"",""天河区""]",时间待议,无经验,Python 数据分析,"[""不限""]",3000,4000,[],[],第五届泰迪杯数据分析技能赛_特等奖,,,,数据分析,
